token_id,token,c,rel,p_base_mean,p_ft_mean,share_of_reduction,list,cum_share_of_reduction,category,annot_note
382,".

",0.0014099514514710459,0.21481124418122427,0.0007370882829289056,0.0020234097711860186,0.05903431404767323,top_c,0.05903431404767323,,
17,2,0.000792446582289856,-0.04085227787967712,0.009574416803107375,0.009582179923734021,0.03317953987429571,top_c,0.09221385392196894,,
271,"

",0.0007618445968199964,0.48258361669759897,0.0015925499758431836,0.0015446494096919656,0.0318982424091772,top_c,0.12411209633114614,,
11,",",0.0005197840500696902,-0.24764185386990742,0.04471541148802591,0.037866865417787006,0.021763227958502322,top_c,0.14587532428964847,,
25,:,0.0003300150443205244,-0.14676900752007013,0.0052273639159957095,0.005539772340968724,0.013817647229305834,top_c,0.1596929715189543,,
448, with,0.00031369968085542376,-0.12263708644443087,0.006274269731153571,0.005720005747640417,0.013134527048397631,top_c,0.17282749856735197,,
1039, our,0.0003037310357213423,0.03951356200767415,0.0009111212004051869,0.001416087066495998,0.0127171423740096,top_c,0.18554464094136155,,
594,'s,0.0002569236731355814,-0.10198719923694928,0.0057352763851956715,0.005804778623675543,0.010757329828869733,top_c,0.1963019707702313,,
715," 
",0.00024073616193149178,0.68548189127256,6.87987609010648e-05,0.0002084326808385196,0.010079562790100116,top_c,0.2063815335603314,,
748,’s,0.00023542403885816354,-0.032584624098879945,0.0027246840227957043,0.0024386132006636923,0.009857145527829443,top_c,0.21623867908816086,,
220, ,0.0002320364278386391,0.11130216271276511,0.01728854952232232,0.014459058139768857,0.009715307103116796,top_c,0.22595398619127766,,
4710," 

",0.0002006532143688731,0.83305253301348,4.93109914786478e-05,0.00011911092911355404,0.008401299817357865,top_c,0.2343552860086355,,
419, this,0.000176252435642435,-0.13818285634948146,0.0024627814797448023,0.0023936351543174137,0.00737964532504082,top_c,0.24173493133367632,,
862, their,0.00016125162749501345,-0.05434022345654075,0.0017654628138102236,0.0019329977813102896,0.006751565245957356,top_c,0.2484864965796337,,
458, an,0.00014823822280122262,-0.08333726689988186,0.0019733417845730268,0.002020136161249072,0.006206697251586921,top_c,0.25469319383122063,,
582, we,0.00014291020494373884,-0.03736069913776148,0.0011846013445710201,0.0012584362984708849,0.0059836144786856674,top_c,0.2606768083099063,,
510,":
",0.00012947163059069433,0.0032579888190541945,0.0007006927412548398,0.0007903191234661444,0.005420944737197105,top_c,0.26609775304710337,,
2293,—,0.00012613495028557418,0.1103799319752152,0.00013739301057140682,0.00029123785336398415,0.005281238768737244,top_c,0.27137899181584063,,
1429, most,0.00012193713117749356,-0.14243978510300317,0.0007044910358557004,0.0009723287145052814,0.005105477134332597,top_c,0.2764844689501732,,
20,5,0.00012098454767727248,0.0014106670084098973,0.003622729737784654,0.0038881844098103188,0.005065592701822519,top_c,0.28155006165199575,,
2299,'re,0.0001159459982859733,0.05415420654037642,0.00039259284405113523,0.0006005743736519463,0.004854629901081875,top_c,0.28640469155307763,,
4911, unique,0.0001111083804119964,0.22431539826922944,0.00018663947991179097,0.0002679388540450923,0.004652080052633526,top_c,0.29105677160571114,,
2219,"!

",0.0001053883060309985,0.4705451166345959,5.348625092253877e-05,0.00014921651580383666,0.004412581971311955,top_c,0.29546935357702314,,
697, your,9.947189539075008e-05,-0.009935039938205764,0.001684982945060631,0.0018594499530976579,0.004164863340002335,top_c,0.2996342169170254,,
1101, just,9.717784853689538e-05,-0.14434219589309086,0.0009426567135267846,0.0011465660987481,0.004068812172943186,top_c,0.3037030290899686,,
1181, its,9.41661655815551e-05,-0.017945624119232572,0.0009499002097448008,0.0010537404219605145,0.003942713762099262,top_c,0.3076457428520679,,
3003,'ve,9.348822854845488e-05,0.10788425554831822,0.00043007041869266627,0.0005448417921307116,0.003914328708362248,top_c,0.31156007156043014,,
24,9,9.088829889180256e-05,-0.025183190399455643,0.00330964287988738,0.0035172366483565715,0.0038054703049806727,top_c,0.3153655418654108,,
7377, digital,8.942836910728868e-05,0.1887126172345782,0.0001925101857653187,0.0002934370164035095,0.003744343410649223,top_c,0.31910988527606005,,
23,8,8.913708503343282e-05,-0.0024204512925020284,0.002564907404741952,0.002588950742464808,0.00373214741945027,top_c,0.3228420326955103,,
4650, potential,8.811433342507659e-05,0.18653566094617993,0.00012853571869137729,0.0002962517174882888,0.003689325065831306,top_c,0.3265313577613416,,
1959, —,8.171253476315801e-05,-0.11732390301213377,0.0003646124334033904,0.0004785488223812232,0.0034212833596552715,top_c,0.3299526411209969,,
1493, these,8.061345676059505e-05,-0.06850975592221532,0.0004998179256434677,0.0006389834937484313,0.0033752652390323973,top_c,0.3333279063600293,,
32313,Okay,8.017820087186717e-05,-0.06769393003057865,0.00016217086637865691,0.00022683874039868232,0.0033570411840130186,top_c,0.3366849475440424,,
91,|,7.902038584096959e-05,-0.05617227612270249,0.0008502784879647873,0.0008521543464551555,0.003308563758728757,top_c,0.3399935113027711,,
2480, full,7.799034935328925e-05,0.005895780281178534,0.00019799037129684748,0.0002877836737925896,0.0032654363890375227,top_c,0.34325894769180865,,
15817, comprehensive,7.67795204338322e-05,0.32136845375810347,6.996538764897629e-05,0.00018226210698822607,0.00321473928552048,top_c,0.3464736869773291,,
481, -,7.0069731500264e-05,-0.14610357771790217,0.0014115325110550555,0.0014480253541102957,0.0029338021038291563,top_c,0.34940748908115826,,
3941, across,7.000511633368515e-05,0.06381039939347713,0.0001605579566077924,0.00024480362359706,0.002931096682992092,top_c,0.3523385857641504,,
369, for,6.699020392145953e-05,-0.17065526497742486,0.007501906072277398,0.006007412840272226,0.0028048630555974324,top_c,0.3551434488197478,,
